name,width,height,length,fps,frame,scale,bodyLength0,bodyLength1
CF_FF_01,1280,720,54246,29.97002997,0,686,44.40720662,42.42640687
CF_FF_02,1280,720,54246,29.97002997,6000,687.0007278,40.79215611,41.77319715
CF_FF_03,1280,720,54246,29.97002997,0,689.0029028,45.70557953,42.01190308
CF_FF_04,1280,720,54246,29.97002997,3000,683.6585405,39.96248241,41.30375286
CF_FF_05,1280,720,54246,29.97002997,3000,686.4925346,44.38468204,43.18564576
CF_FF_06,1280,720,54246,29.97002997,0,689.0878028,39.69886648,38.89730068
CF_FF_07,1280,720,54246,29.97002997,3000,687.0116447,39.20459157,43.96589587
CF_FF_08,1280,720,54246,29.97002997,0,686.0029154,44.01136217,42.95346319
CF_FF_09,1280,720,54246,29.97002997,9000,685.1051014,42,41.14608122
CF_FF_10,1280,720,54246,29.97002997,3000,684.4567189,40.31128874,39.92492956
CF_FF_11,1280,720,54246,29.97002997,6000,683.1434696,40.19950248,38.18376618
CF_FF_12,1280,720,54246,29.97002997,18000,684.0116958,38.58756276,41.23105626
CF_FF_13,1280,720,54246,29.97002997,12000,694.9856114,41.10960958,42.54409477
CF_FF_14,1280,720,54246,29.97002997,12000,699.0028612,48.37354649,39.35733731
CF_FF_15,1280,720,54246,29.97002997,6000,698.1210497,44.59820624,43.17406629
CF_FF_16,1280,720,54246,29.97002997,36000,679.0596439,41.43669871,39.56008089
CF_FF_17,1280,720,54246,29.97002997,0,677.189043,41.18252056,39.05124838
CF_FF_18,1280,720,54246,29.97002997,0,679.1244363,45.12205669,40.70626487
CF_FF_19,1280,720,54246,29.97002997,9000,677.6208379,40.11234224,39.8246155
CF_FF_20,1280,720,54246,29.97002997,3000,676.2669591,42.20189569,41.19465985
CF_FF_21,1280,720,54246,29.97002997,6000,669.0067264,38.94868419,42.04759208
CF_FF_22,1280,720,54246,29.97002997,0,668.0187123,43.26661531,41.14608122
CF_FF_23,1280,720,54246,29.97002997,3000,666.3002326,44.29446918,39.3192065
CF_FF_24,1280,720,54246,29.97002997,6000,668.5843253,40.26164428,41.03656906
CF_FF_25,1280,720,54246,29.97002997,9000,710.0007042,41.77319715,42.72001873
CF_FF_26,1280,720,54246,29.97002997,9000,715.4026838,41.59326869,42.72001873
CF_FF_27,1280,720,54246,29.97002997,6000,713.2271728,48.75448697,41.97618372
CF_FF_28,1280,720,54246,29.97002997,6000,682.123889,43.829214,44.41846463
CF_FF_29,1280,720,54246,29.97002997,9000,679.1244363,40.24922359,39.44616585
CF_FF_30,1280,720,54246,29.97002997,36000,678.8519721,41.76122604,39.69886648
CF_FF_31,1280,720,54246,29.97002997,30000,683.1237077,40.31128874,40.44749683
CF_FF_32,1280,720,54246,29.97002997,3000,681.6604727,39.35733731,39.8246155
CF_FF_33,1280,720,54246,29.97002997,24000,669.0186843,35.51056181,40.22437072
CF_FF_34,1280,720,54246,29.97002997,0,671.0029806,39.69886648,38.27531842
CF_FF_35,1280,720,54246,29.97002997,0,669.2697513,38.63935817,38.83297568
CF_FF_36,1280,720,54246,29.97002997,6000,670.0186565,37.44329045,40
CF_FF_37,1280,720,54246,29.97002997,3000,700.3777552,42.72001873,44.29446918
CF_FF_38,1280,720,54246,29.97002997,12000,703.1024107,40.70626487,40.85339643
CF_FF_39,1280,720,54246,29.97002997,18000,702.0712215,43.41658669,41.62931659
CF_FF_40,1280,720,54246,29.97002997,24000,677.4990775,38.20994635,39.11521443
CF_FF_41,1280,720,54246,29.97002997,6000,678.5373976,41.10960958,43.0464865
CF_FF_42,1280,720,54246,29.97002997,6000,681.0183551,41,38.07886553
CF_FF_43,1280,720,54246,29.97002997,30000,680.0595562,37.53664876,38.27531842
CF_FF_44,1280,720,54246,29.97002997,3000,679.5366068,39.45883931,37.33630941
CF_FF_45,1280,720,54246,29.97002997,18000,685.420309,41.01219331,38.41874542
CF_FF_46,1280,720,54246,29.97002997,12000,685.9453331,37.10795063,40.80441153
CF_FF_47,1280,720,54246,29.97002997,12000,684.3865867,36.22154055,36
CF_FF_48,1280,720,54246,29.97002997,15000,687.0029112,41,39.05124838
CF_FF_49,1280,720,54246,29.97002997,42000,693.3181088,37.64306045,37.53664876
CF_FF_50,1280,720,54246,29.97002997,24000,692.1849464,42.15447782,38.63935817
CF_FF_51,1280,720,54246,29.97002997,6000,694.1037386,42.75511665,42.72001873
CF_FF_52,1280,720,54246,29.97002997,24000,695.5242627,41,41.40048309
CF_FF_53,1280,720,54246,29.97002997,12000,696.0028736,42.3792402,43.73785546
CF_FF_54,1280,720,54246,29.97002997,12000,695.0028777,42.43819035,44.28317965
CF_FF_55,1280,720,54246,29.97002997,6000,697.0007174,42.72001873,40.85339643
CF_FF_56,1280,720,54246,29.97002997,3000,694.0583549,41.72529209,48.91829923
CF_FF_57,1280,720,54246,29.97002997,24000,699.0178825,38.48376281,41.0487515
CF_FF_58,1280,720,54246,29.97002997,3000,701.0349492,42.44997055,44.14748011
CF_FF_59,1280,720,54246,29.97002997,15000,698.3158311,38.01315562,42.94182111
CF_FF_60,1280,720,54246,29.97002997,24000,699.3461232,44.41846463,41.10960958
CF_FF_61,1280,720,54246,29.97002997,12000,699.4118958,39.56008089,43.28972164
CF_FM_01,1280,720,54246,29.97002997,27000,687.57036,38.47076812,39.8246155
CF_FM_10,1280,720,54246,29.97002997,42000,682.0263925,35.90264614,38.62641583
CF_FM_11,1280,720,54246,29.97002997,45000,694.2600377,38.01315562,37
CF_FM_12,1280,720,54246,29.97002997,45000,692.3496227,38.11823711,37.20215048
CF_FM_13,1280,720,54246,29.97002997,36000,694.2881246,41.0487515,37.48332963
CF_FM_14,1280,720,54246,29.97002997,15000,674.0185457,37.80211634,39.3192065
CF_FM_15,1280,720,54246,29.97002997,12000,677.461438,38.83297568,36.01388621
CF_FM_16,1280,720,54246,29.97002997,3000,676.7569726,33.41855772,36.98215786
CF_FM_17,1280,720,54246,29.97002997,33000,676.0066568,37.21558813,39.3192065
CF_FM_18,1280,720,54246,29.97002997,39000,646.2236455,38.01315562,35.34119409
CF_FM_19,1280,720,54246,29.97002997,33000,646.003096,35.73513677,34.4818793
CF_FM_02,1280,720,54246,29.97002997,18000,685.1642139,40.31128874,38.27531842
CF_FM_20,1280,720,54246,29.97002997,12000,648.0069444,40.52159918,40.70626487
CF_FM_21,1280,720,54246,29.97002997,12000,712.8113355,35.4682957,38.07886553
CF_FM_22,1280,720,54246,29.97002997,12000,711.5124735,40.45985665,41.0487515
CF_FM_23,1280,720,54246,29.97002997,45000,710.203492,40.70626487,39
CF_FM_24,1280,720,54246,29.97002997,36000,717.0341693,40.01249805,39.01281841
CF_FM_25,1280,720,54246,29.97002997,42000,719.1564503,39.81205847,42.29657197
