,name,width,height,length,fps,frame,scale,bodyLength0,bodyLength1
1,CF_FM_01,1920,1080,53977,29.97002997,3000,1080.185169,59.05929224,50.99019514
2,CF_FM_02,1920,1080,53977,29.97002997,0,1084.807817,57.30619513,55.6057551
3,CF_FM_03,1920,1080,53977,29.97002997,3000,1075.356685,64.12487817,55.1724569
4,CF_FM_04,1920,1080,53977,29.97002997,3000,1084.066419,50.99019514,52.34500931
5,CF_FM_05,1920,1080,53977,29.97002997,3000,1081.312166,55.78530272,58.24087911
6,CF_FM_06,1920,1080,53977,29.97002997,12000,1078.118732,55.56977596,48.08326112
7,CF_FM_07,1920,1080,53977,29.97002997,30000,1081.251127,53.66563146,52.15361924
8,CF_FM_08,1920,1080,53977,29.97002997,15000,1075.072091,57.68882041,59.22837158
9,CF_FM_09,1920,1080,53977,29.97002997,12000,1078,61.6116872,50.47771786
10,CF_FM_10,1920,1080,53977,29.97002997,3000,1076.899252,51.41984053,49.47726751
11,CG_FM_01,1920,1080,53977,29.97002997,6000,1060.482909,46.38965402,45.607017
12,CG_FM_02,1920,1080,53977,29.97002997,0,1067.171964,49.47726751,48.0416486
13,CG_FM_03,1920,1080,53977,29.97002997,12000,1067.919473,44.27188724,46.38965402
14,CG_FM_04,1920,1080,53977,29.97002997,0,1064.007519,48.33218389,46.64761516
15,CG_FM_05,1920,1080,53977,29.97002997,3000,1056.683491,45.65084884,45.254834
16,CG_FM_06,1920,1080,53977,29.97002997,0,1065.089668,43.9089968,35.38361203
17,CG_FM_07,1920,1080,53977,29.97002997,0,1060.047169,56.14267539,40.44749683
18,CG_FM_08,1920,1080,53977,29.97002997,6000,1064.903752,46.04345773,46.64761516
19,CG_FM_09,1920,1080,53977,29.97002997,0,1060.831749,47.5394573,38.83297568
20,CG_FM_10,1920,1080,53977,29.97002997,3000,1047.835865,51.26402247,41.23105626
