,name,width,height,length,fps,frame,scale,bodyLength0,bodyLength1
0,CG_FM_27,640,480,54095,29.97,3000,373.3048352218332,19.13765920900464,16.77050983124842
1,CG_FM_28,640,480,54096,29.97,0,383.3770989508893,17.7341478509682,14.5
2,CG_FM_29,640,480,54096,29.97,0,377.00033156484096,18.062391868188442,17.240939649566666
3,CG_FM_30,640,480,54096,29.97,0,374.457273931219,18.527007313648905,17.08800749063506
4,CG_FM_31,640,480,54096,29.97,0,385.77843381920667,18.24828759089466,17.269916039170543
5,CG_FM_32,640,480,54096,29.97,0,374.2385602794025,19.1049731745428,18.027756377319946
6,CG_FM_33,640,480,54096,29.97,6000,372.50302012198506,18.5,14.705441169852742
7,CG_FM_34,640,480,54096,29.97,0,382.073618560612,19.241881404893856,17.08800749063506
8,CG_FM_35,640,480,54096,29.97,0,375.57489266456565,18.0,15.508062419270823
9,CG_FM_36,640,480,54081,29.97,0,373.957885329351,15.443445211480501,17.10263137648707
10,CG_FM_37,640,480,54096,29.97,0,374.3861642742691,17.327723451163457,18.681541692269406
11,CG_FM_38,640,480,54096,29.97,6000,379.16553113383077,16.00781059358212,18.398369492974098
12,CG_FM_39,640,480,54096,29.97,0,374.58543751726387,18.0,15.945218719101975
13,CG_FM_40,640,480,54096,29.97,12000,377.17535709534366,17.46424919657298,15.811388300841896
14,CG_FM_41,640,480,54096,29.97,12000,375.22526567383494,16.446884203398525,14.534441853748634
15,CG_FM_42,640,480,54096,29.97,0,384.37611788455325,19.83053201505194,16.278820596099706
16,CG_FM_43,854,480,54096,29.97,6000,447.660864941308,21.982947936980608,16.867127793433
17,CG_FM_44,640,480,54096,29.97,3000,376.008311078359,16.62077013859466,17.240939649566666
18,CG_FM_45,640,480,54096,29.97,18000,373.281730064572,17.755280904564703,16.688319268278637
19,CG_FM_46,640,480,54096,29.97,12000,382.1792773032049,16.507574019219177,15.132745950421556
20,CG_FM_47,854,480,54096,29.97,6000,440.51106683033515,21.02974084481309,18.82153022471871
21,CG_FM_01,640,480,54096,29.97,0,377.9619689862989,17.356554957709783,17.5
22,CG_FM_02,640,480,54096,29.97,0,430.0072673804479,21.0535032714273,19.981241202688086
23,CG_FM_03,640,480,54096,29.97,0,433.04099113132463,21.400934559032695,20.591260281974
24,CG_FM_04,640,480,54096,29.97,3000,432.2267923208833,20.402205763103165,19.525624189766635
25,CG_FM_05,640,480,54096,29.97,0,433.85308573294714,20.573040611440984,18.82153022471871
26,CG_FM_06,640,480,54092,29.97,0,427.3289131336657,20.5,18.741664813991314
27,CG_FM_07,640,480,54096,29.97,21000,378.3186487605389,17.066048165876012,17.804493814764857
28,CG_FM_08,640,480,54096,29.97,0,382.79824973476565,18.506755523321747,18.33712082089225
29,CG_FM_09,640,480,54096,29.97,0,370.7455326770641,16.278820596099706,17.7341478509682
30,CG_FM_10,640,480,54096,29.97,3000,384.8327558823443,17.10263137648707,17.00735135169495
31,CG_FM_11,854,480,54096,29.97,0,447.11771380700185,20.506096654409877,19.525624189766635
32,CG_FM_12,640,480,54096,29.97,0,372.8903994473443,14.773286702694158,17.240939649566666
33,CG_FM_13,640,480,54096,29.97,3000,369.93817050961366,16.77050983124842,15.628499608087784
34,CG_FM_14,640,480,54096,29.97,3000,373.9267976489516,18.117670931993437,17.564168070250297
35,CG_FM_15,640,480,54096,29.97,6000,382.5209144608958,19.13765920900464,16.492422502470642
36,CG_FM_16,640,480,54096,29.97,0,372.8903994473443,17.564168070250297,16.32482771731451
37,CG_FM_17,640,480,54096,29.97,0,371.59386431963594,15.692354826475215,15.890248582070704
38,CG_FM_18,640,480,54096,29.97,0,371.5121128577102,18.9010581714358,17.10263137648707
39,CG_FM_19,640,480,54096,29.97,0,382.8775914048771,18.76832437912346,18.82153022471871
40,CG_FM_20,640,480,54096,29.97,0,369.52740087847343,19.03943276465977,16.194134740701646
41,CG_FM_21,640,480,54096,29.97,0,374.0751929759577,17.240939649566666,18.527007313648905
42,CG_FM_22,640,480,54096,29.97,0,374.0751929759577,18.027756377319946,16.867127793433
43,CG_FM_23,640,480,54096,29.97,3000,382.064457912536,19.1049731745428,16.507574019219177
44,CG_FM_24,640,480,54096,29.97,0,378.3269089028693,16.98528775146303,15.811388300841896
45,CG_FM_25,640,480,54096,29.97,0,375.60784070623447,17.204650534085253,18.741664813991314
46,CG_FM_26,640,480,54096,29.97,0,376.0867586076383,18.034688796871432,17.44276354251241
