,name,width,height,length,fps,frame,scale,bodyLength0,bodyLength1
0,CF_FM05,1920,1080,53977,29.97002997002997,3000,1081.3121658429632,55.78530272392541,58.240879114244144
1,CF_FM06,1920,1080,53977,29.97002997002997,12000,1078.1187318658367,55.569775957799216,48.08326112068523
2,CF_FM07,1920,1080,53977,29.97002997002997,30000,1081.2511271670426,53.665631459994955,52.15361924162119
3,CF_FM08,1920,1080,53977,29.97002997002997,15000,1075.0720906060208,57.688820407423826,59.22837157984339
4,CF_FM09,1920,1080,53977,29.97002997002997,12000,1078.0,61.61168720299745,50.47771785649585
5,CF_FM10,1920,1080,53977,29.97002997002997,3000,1076.8992524837224,51.419840528729765,49.47726750741192
6,CG_FM07,1920,1080,53977,29.97002997002997,0,1060.0471687618433,56.142675390472796,40.44749683231337
7,CF_FM01,1920,1080,53977,29.97002997002997,3000,1080.1851693112621,59.0592922409336,50.99019513592785
8,CF_FM02,1920,1080,53977,29.97002997002997,0,1084.8078170809795,57.30619512757761,55.60575509783138
9,CF_FM03,1920,1080,53977,29.97002997002997,3000,1075.356685012001,64.1248781675256,55.17245689653489
10,CF_FM04,1920,1080,53977,29.97002997002997,3000,1084.0664186294123,50.99019513592785,52.3450093132096
11,CG_FM01,1920,1080,53977,29.97002997002997,6000,1060.4829088674649,46.389654018972806,45.60701700396552
12,CG_FM02,1920,1080,53977,29.97002997002997,0,1067.1719636497203,49.47726750741192,48.041648597857254
13,CG_FM03,1920,1080,53977,29.97002997002997,12000,1067.9194726195417,44.27188724235731,46.389654018972806
14,CG_FM04,1920,1080,53977,29.97002997002997,0,1064.0075187704267,48.33218389437829,46.647615158762406
15,CG_FM05,1920,1080,53977,29.97002997002997,3000,1056.683490928102,45.65084884205331,45.254833995939045
16,CG_FM06,1920,1080,53977,29.97002997002997,0,1065.0896675867248,43.9089968002003,35.38361202590826
17,CG_FM08,1920,1080,53977,29.97002997002997,6000,1064.9037515193568,46.04345773288535,46.647615158762406
18,CG_FM09,1920,1080,53977,29.97002997002997,0,1060.831749147809,47.53945729601885,38.8329756778952
19,CG_FM10,1920,1080,53977,29.97002997002997,3000,1047.8358650094012,51.264022471905186,41.23105625617661
