position,x0,y0,x1,y1
0,335.0763636,336.8654545,645.3951613,65.35483871
1,333.5120482,341.8373494,645.5587467,64.53524804
2,335.4571429,346.4,647.4573864,61.96022727
3,338.8342541,368.6685083,648.3835227,59.50284091
4,339.7482993,371.2585034,649.7222222,56.53333333
5,342.9040248,379.0464396,650.7280453,55.04249292
6,345.8431373,379.872549,652.0327456,52.26952141
7,352.191358,383.7901235,652.4985755,50.15954416
8,354.0655172,384.5310345,652.7260274,48.55068493
9,359,388.7866667,653.0466321,46.86787565
10,365.1449275,395.9927536,652.9228792,46.78920308
11,365.2666667,396.3833333,652.7537688,46.43718593
12,365.851312,397.96793,652.1215881,46.96029777
13,362.3822394,392.8996139,652.3434343,46.84343434
14,361.366782,392.3079585,652.6704225,48.30140845
15,359.1331269,393.6006192,654.2630208,47.86979167
16,357.3764706,395.95,655.4641975,48.10617284
17,354.3925729,397.8779841,657.8071979,48.76606684
18,351.7741935,396.7390029,659.8804348,50.38586957
19,349.1016393,395.1737705,662.380814,50.8255814
20,344.7882736,393.0618893,664.6265432,50.94135802
21,342.5320513,390.0288462,667.6510264,51.96774194
22,340.118705,385.381295,670.4508671,53.38728324
23,338.7166667,380.7916667,674.0727273,56.26060606
24,336.4535316,373.9591078,677.1015385,57.75076923
25,333.7478261,367.6130435,679.5915916,58.75675676
26,333.183908,361.835249,682.7018072,60.13554217
27,334.6434109,356.496124,686.8776758,61.60244648
28,337.045977,349.1762452,690.3951368,63.03343465
29,338.2587413,339.6713287,693.8905325,63.88757396
30,338.9134948,330.4602076,696.8036254,64.54984894
31,338.6060606,324.4983165,700.6695652,65.0115942
32,339.5446009,316.5539906,704.0204082,65.89212828
33,341.4385027,311.2245989,707.6676218,66.32664756
34,343.7370518,300.3984064,709.3890578,67.28267477
35,344.7012448,291.9087137,712.5227964,68.26139818
36,344.6967213,282.0901639,715.2684366,69.80530973
37,348.1215686,275.7137255,716.7129032,70.43548387
38,352.4858934,265.7962382,720.0160256,72.95833333
39,358.3111782,258.1268882,722.2649842,75.45741325
40,361.4935897,250.5,724.2034483,76.97241379
41,363.7188406,242.8666667,728.7319588,79.82130584
42,365.1024735,235.9469965,731.5084746,81.60677966
43,366.4028777,228.6330935,735.2108844,84.00680272
44,369.0915254,224.8305085,738.23,85.79
45,374.5545171,220.2149533,742.1891892,87.65202703
46,379.7440476,213.2202381,746.0343643,89.73195876
47,385.4767123,209.5123288,748.7243816,92.5229682
48,389.9669421,204.0220386,752.2229102,95.35913313
49,394.5196629,197.7949438,755.5225806,97.34516129
50,396.9560117,191.3284457,758.6732673,98.89438944
51,398.3081395,184.7906977,761.7003367,100.2289562
52,399.6414474,176.5756579,764.7044674,102.2130584
53,401.1107383,171.6342282,768.0896057,104.5949821
54,405.4736842,163.2927632,772.2739274,105.7788779
55,409.1859649,157.0491228,776.0094044,106.5893417
56,415.5398773,150.3834356,779.2312925,107.3707483
57,423.1561562,143.9219219,783.4419355,108.3354839
58,427.2100592,138.8905325,788.1688742,108.2086093
59,433.2924528,132.0597484,792.0522876,108.7026144
60,437.1432584,127.4353933,796.4874214,109.7672956
61,441.9275766,124.8440111,800.3365696,110.5598706
62,450.9106628,120.3112392,803.4227129,111.2996845
63,457.9491979,115.0775401,807.7916667,112.0555556
64,465.8814016,109.4636119,811.9965986,112.9455782
65,472.9069149,103.9335106,816.01,114.4266667
66,481.7831978,97.12466125,818.7902098,116.1223776
67,488.8796562,89.98280802,822.4542484,117.2222222
68,497.8076923,83.67455621,825.7578947,118.1649123
69,504.39375,78.95625,830.1567944,119.7770035
70,510.4365325,74.49535604,833.2332155,121.6466431
71,516.8235294,70.06176471,837.4416961,122.9929329
72,524.1854305,65.95364238,842.3398058,123.9061489
73,532.7526882,62.13978495,845.3946488,124.6287625
74,540.6373239,57.52816901,848.8590604,125.5033557
75,548.6703704,55.9037037,852.6904762,127.4081633
76,554.6127168,56.41040462,857.3630363,127.9108911
77,561.0898551,57.22608696,860.2724138,129.1310345
78,570.9302326,58.86337209,863.5294118,130.2560554
79,579.244713,61.69486405,866.986014,131.506993
80,586.247619,62.37142857,870.4911032,132.2313167
81,597.0311615,61.68838527,875.9390681,133.078853
82,605.6790831,62.68767908,877.056338,133.5774648
83,614.2403561,63.69436202,876.7681661,133.3564014
84,622.1118012,63.45031056,876.7572816,133.381877
85,628.52,63.26153846,876.7371795,133.3621795
86,636.5030864,65.21604938,877.0501567,133.2821317
87,646.9035088,64.27777778,876.8753994,133.3833866
88,654.895288,61.03926702,877.1464174,133.2087227
89,662.1569767,57.80523256,877.4879518,133.2801205
90,667.2005208,53.27083333,877.4865672,133.238806
91,673.662234,47.7606383,877.4205882,133.3088235
92,679.4521964,45.33074935,876.671875,133.58125
93,688.4369973,44.52546917,876.2879747,134.5443038
94,693.9298246,45.80409357,875.9464883,136.1137124
95,701.7050562,45.43820225,876.2779783,138.4512635
96,711.0851064,46.56914894,877.5065789,142.5098684
97,714.46,48.07142857,878.5335689,145.7279152
98,723.784127,51.73015873,879.84375,148.0208333
99,731.1722054,53.63746224,881.3505155,151.1890034
100,737.7679739,58.9379085,882.1484099,155.2579505
101,745.622291,63.58823529,883.269103,159.2292359
102,752.7852113,68.80985915,885.0839161,161.7832168
103,758.8227425,74.80602007,887.3310345,166.2310345
104,765.4791667,81.07986111,888.6546763,170.205036
105,772.260274,87.70890411,890.6716418,175.5373134
106,780.1522491,93.49134948,893.3439716,179.712766
107,786.3505535,101.601476,895.6811594,183.8876812
108,793.2711268,108.8450704,897.1952862,188.8754209
109,796.0299003,115.2292359,898.1348684,192.2565789
110,803.3369176,121,898.8141892,194.9087838
111,809.9473684,127.1368421,899.8461538,198.1783217
112,817.6307692,130.7346154,900.6849315,202.5136986
113,826.2783883,133.6923077,900.2638889,207.6388889
114,832.7576792,135.996587,901.1466667,212.17
115,841.3232323,137.3434343,901.9490909,214.5927273
116,848.9141104,138.1533742,903.2973978,219.7100372
117,858.4574132,136.1356467,904.4531835,224.906367
118,864.7088235,134.8352941,905.9851301,229.5204461
119,870.8563218,131.3045977,907.9628253,234.070632
120,874.3687003,128.0132626,909.3191489,238.4007092
121,874.8298969,127.8298969,910.1449814,244.1821561
122,874.1798365,128.3623978,910.7065217,248.9710145
123,873.5325077,131.5913313,910.9442379,253.2118959
124,878.0987654,135.75,911.2214022,258.8597786
125,883.2662539,140.6315789,911.3478261,263.8913043
126,887.2715655,143.1469649,911.8513011,267.6171004
127,891.4875445,148.0818505,912.6531365,272.3136531
128,894.971223,154.9568345,913.2727273,276.2363636
129,899.3252033,162.3252033,914.4734982,280.3816254
130,902.5,169.8430657,915.7954545,282.8993506
131,902.9795918,175.8204082,918.2268371,287.0798722
132,903.8943662,184.5070423,920.4577922,290.7597403
133,902.5259516,193.3044983,921.8139535,294.7342193
134,902.35,201.7,922.8431373,298.4869281
135,901.1438127,211.1036789,924.4451827,301.7641196
136,902.0164474,219.2368421,926.4462541,305.1042345
137,903.3791822,228.6208178,927.4486301,307.9726027
138,906.5017422,236.1358885,928.1284722,312.8298611
139,907.9222973,242.7871622,928.3081761,317.3207547
140,908.9822064,248.9252669,928.6081505,319.7398119
141,912.254777,256.1942674,930.3605441,323.9727888
142,914.7142854,265.2090587,930.2607257,328.029701
143,916.2081904,271.5187694,929.3819861,332.5465756
144,914.8443738,280.5563021,930.5147897,336.4851956
145,914.6993424,288.0097938,931.302311,341.1660636
146,914.9113266,295.4491851,932.0228983,344.6495708
147,918.5934283,302.4626122,932.4636775,348.1795777
148,922.9883251,307.9319892,933.111368,350.8727074
149,926.6211486,312.913598,934.5735456,357.6266766
150,930.364089,323.0595549,935.3129338,362.1945684
151,931.0342012,331.7814574,934.7312891,366.2839931
152,931.8973791,337.9429271,934.484087,372.2977985
153,932.3582406,346.3105269,933.2667521,380.4671425
154,934.4857454,353.9198649,931.582081,387.5301507
155,936.0809202,361.5440188,928.30462,391.7815465
156,938.0069535,367.8736176,923.8687912,393.8306319
157,938.023625,373.3353463,920.3898999,395.8049067
158,936.819216,379.5337603,915.4441068,399.320108
159,934.6264056,382.5828928,910.4827161,400.0410687
160,931.7091109,386.6707482,905.8261978,401.5561074
161,927.3221451,390.6337683,898.8274353,403.7189794
162,922.5356358,394.3289279,891.9554047,406.1238708
163,916.6025227,397.6707166,886.2582969,408.8947173
164,910.6144637,400.1783935,880.1231897,410.5015025
165,903.826217,402.5441866,872.9395065,413.6472994
166,897.6935063,404.5681301,865.927647,417.4846226
167,890.8640812,406.982241,858.5217256,419.648014
168,885.1896073,409.7253458,853.3537663,422.0960753
169,878.7190596,412.2935672,847.1645665,424.1520116
170,872.5044565,414.3171002,840.4921433,426.1144686
171,866.1917906,416.8731772,833.8105258,428.5439703
172,858.8497522,419.2536182,826.2110942,431.6285841
173,851.6464811,421.220125,819.2078004,434.5026164
174,843.671707,423.8560315,811.8662566,439.0101992
175,836.9270363,426.844756,805.9182444,442.393152
176,830.9436327,429.9026286,799.6763287,447.2084967
177,824.0415019,433.8412292,793.47054,451.4942705
178,817.2570438,437.9936088,787.7765076,456.0953646
179,811.6168166,441.5009992,783.2541244,461.1465873
180,803.6275729,445.075078,775.4778942,468.65088
181,795.4008222,450.5435903,770.4802031,474.8943413
182,787.3051865,456.6523888,763.9809675,482.5540533
183,780.2829667,462.7877144,758.3161087,490.014846
184,774.4820214,469.3007211,753.7576612,497.5614919
185,768.2322519,476.3805538,748.694674,504.968377
186,761.8951573,484.0047164,745.5268006,513.1118936
187,757.6758183,490.560461,740.9440159,522.2871618
188,754.5093868,497.8003109,737.7748915,530.0080847
189,748.4270368,507.4664105,734.2789022,538.6895732
190,744.1410203,516.3956452,730.7960006,548.1587602
191,740.8055495,523.0413867,728.5052032,555.5582243
192,737.1756315,531.9587068,724.0841444,565.5538537
193,732.1392791,539.3888616,721.3102866,573.7462612
194,729.0573735,547.4993739,718.6686653,582.0332536
195,726.7166904,555.9202676,716.7358058,590.8528002
196,724.7570843,565.2747049,713.7812818,599.4017175
197,722.5172641,571.2476331,709.5154686,609.9381684
198,723.4009843,574.844362,706.4248207,617.7002031
199,722.04232,583.4525931,702.1007844,625.3062249
200,719.6718973,594.8860144,699.7423626,632.2784385
201,716.804553,604.1701233,698.3207831,634.3158565
202,711.4474006,611.5614356,694.0459013,641.4304176
203,705.8267616,619.8812966,691.02574,649.8833564
204,702.3350199,625.3022672,686.8520542,656.6488424
205,698.3765409,631.5655715,684.8734865,662.2716187
206,693.8065201,638.9335475,681.8068053,669.6216478
207,690.5716877,644.3657284,677.4984303,676.0148022
208,687.2161516,650.1664263,674.3896231,680.7603538
209,685.8822448,653.2952626,673.1234137,682.2935926
210,684.5658612,657.3668559,668.1377403,685.7884639
211,683.6020092,659.1783543,662.1806202,685.6555458
212,681.0715186,663.3364841,658.0054142,686.5736177
213,677.5263241,667.5833264,651.9372417,687.3175028
214,674.7702498,671.1983728,645.0757209,687.325398
215,670.2395023,674.4983767,640.6402581,686.578918
216,666.9483625,674.4234843,635.6665342,685.7074022
217,663.0813738,675.6250018,631.1093093,684.7950581
218,658.0132011,676.9684122,624.4235924,685.1779678
219,652.2723425,678.4819434,618.5818355,684.8274755
220,646.3667345,680.6206924,611.9405927,683.1938227
221,638.9372626,682.1320514,603.6082472,682.5634627
222,632.1641535,682.6900842,596.7290682,680.7936932
223,623.7383473,684.2500545,586.9235938,679.3842764
224,615.5261705,683.8222644,580.1412193,679.7141953
225,608.0802509,683.8998409,574.2987931,678.3108396
226,600.1095975,682.2143315,568.0609073,676.2175898
227,594.5067315,679.9892798,561.0698501,674.3351069
228,588.0954682,678.8204823,554.3258406,672.3551001
229,580.5547045,677.3184252,547.9655912,669.5934994
230,573.6938481,676.3628445,542.5269167,665.9763186
231,566.8502944,675.0614261,536.3317551,661.4749579
232,559.2874383,672.882514,529.2531266,658.44739
233,552.365664,670.367314,522.6439953,654.6846981
234,547.195774,667.6446137,517.0451206,650.6563041
235,537.1778161,664.6299406,510.2340918,646.8592337
236,530.7982811,661.3204519,502.3835471,641.5512833
237,525.1395415,657.3005921,497.9920081,639.2572756
238,518.2127227,651.8082138,488.6805925,634.9462745
239,513.149092,647.2982425,483.6723839,631.9306897
240,505.1154914,642.9549361,474.6152261,627.2222992
241,500.1874193,639.7305372,470.0844223,623.916224
242,492.6263034,636.1219855,462.7731227,619.5433526
243,484.648239,633.0270876,454.8023714,614.9921261
244,475.1615795,627.4384732,446.9857909,609.5244765
245,470.6476593,624.447571,444.5155479,607.9575752
246,463.1513247,620.1390397,436.3416182,601.4814477
247,457.9401628,615.776251,432.3512912,594.9946564
248,454.4525428,613.4008593,428.3670605,590.0819761
249,448.2577713,608.8787762,424.3585844,583.4778385
250,442.3061498,603.9821115,420.7682124,578.3506881
251,434.8228839,596.4954316,415.6174832,571.2081965
252,429.9471032,591.1314967,410.946081,563.7173508
253,426.5640084,585.9227256,405.9232291,557.7355164
254,422.2947802,579.2342388,400.9873214,551.484296
255,416.2254197,571.123428,396.0933033,544.5204053
256,410.8862902,562.4947481,390.9900174,538.1534776
257,403.6669951,553.5992152,385.1722249,530.5806677
258,400.9634477,548.9652757,382.3229371,525.6804809
259,394.2971379,541.2508308,379.1336036,521.5410455
260,392.0344181,538.2670592,374.965395,514.7937108
261,388.4620217,533.5112566,373.460845,513.0638118
262,384.6176985,529.0447188,370.9305213,511.1388572
263,379.4170925,522.5898582,364.6124507,494.7942942
264,377.6907282,519.4473819,362.1289008,488.663891
265,375.3873724,514.1023497,359.8151734,482.95418
266,371.6782947,505.99839,356.8957102,473.3631817
267,364.0986735,490.6796245,352.8551624,461.364375
268,361.5200265,484.6343747,351.4130299,454.2531453
269,360.8206983,482.6678032,348.8859484,448.9460746
270,356.8063187,471.7393333,345.6331437,440.5593217
271,352.9817118,460.7212152,343.5589094,432.7156012
272,351.5853931,453.4594697,340.6620692,425.7486153
273,350.5291095,449.7921495,340.6991349,419.2333655
274,348.9124857,444.9752245,341.3934408,412.4328081
275,347.4394023,439.1553155,341.4277909,404.9027235
276,346.2091102,431.507961,343.8850293,397.6578829
277,344.3770083,425.2288184,345.5218604,391.660239
278,343.3543834,418.2703368,348.4150706,383.9815647
279,344.213158,411.2941196,350.4891206,376.6521737
280,344.6928942,403.3601279,351.8375043,369.2176976
281,346.5749121,394.2213726,353.5825883,360.1175157
282,348.4188381,385.9049246,353.9025889,350.7863509
283,350.3504408,378.8155008,353.7726026,343.4068287
284,351.9022655,370.337214,352.0586693,333.7258209
285,352.4142028,362.0692963,350.5083637,327.2382594
286,352.7111244,355.4557911,349.9092203,321.5365328
287,352.8441412,347.6030431,347.6556265,314.7444624
288,353.748639,340.7158099,346.3706981,310.2373768
289,353.5955227,336.5367384,345.3390274,303.1629086
290,352.257872,330.7143933,346.6812116,299.3833967
291,350.312553,324.3270816,348.1883023,291.2006743
292,349.4125378,319.5073388,350.4449361,285.8291308
293,347.6679316,313.6373718,354.8387394,271.9848582
294,345.3265051,306.0161284,356.5020115,265.2195338
295,342.9214792,298.1529167,359.2221673,258.4041713
296,342.9999606,288.7422319,359.8006189,252.5444185
297,343.0756271,282.1722722,361.8549749,245.2235869
298,344.9069567,274.9128107,364.5154881,238.7795855
299,351.1262468,265.0661585,365.7314212,235.6994265
300,357.0135837,257.1815685,369.4844577,227.3517488
301,360.5248091,252.1031296,373.6260528,222.3147198
302,362.7156651,246.558509,376.8622367,217.7008958
303,365.5075766,240.6187712,380.9864867,211.6244827
304,368.1529533,235.91851,384.8567569,206.7772856
305,371.5960029,230.3365616,389.209196,200.2756457
306,375.5400386,222.7911579,394.4818781,195.1640799
307,379.4177962,217.3882122,399.5722845,189.8635185
308,383.3069988,211.2226422,403.804415,182.3963986
309,386.4121028,206.3830625,407.3845096,177.3053459
310,391.1755475,200.1922558,411.5445425,170.5938142
311,395.178167,194.4762459,413.2164403,164.8302945
312,400.5797472,187.990911,415.5594851,159.6883989
313,404.1405759,181.9944611,417.4743732,155.4500606
314,407.5663444,177.3643063,419.6123979,150.5247038
315,411.5823036,172.9995041,423.4243292,144.5904722
316,413.0624241,170.428384,424.6275035,142.3794254
317,414.0080629,169.2451602,424.3563533,141.5590405
318,415.0999925,168.0180665,426.872325,140.4521933
319,416.1311484,165.9760567,430.5740732,136.8765474
320,418.9686453,162.2474078,436.1780755,131.8218998
321,422.2073152,156.3175735,441.4390521,126.9462674
322,423.7443764,153.8411265,447.4209036,122.2923362
323,427.2303229,149.371171,454.4735378,117.431624
324,431.5277229,142.8159376,460.5518376,112.0759159
325,436.3561387,135.7125965,463.587149,109.336767
326,441.5540832,130.8498831,467.8255091,105.0847212
327,446.5224171,126.7154188,471.2720022,103.3314784
328,450.9051852,123.4021012,475.7887659,100.2758072
329,454.9938249,119.8169933,482.5461343,96.81052609
330,459.3555339,115.0451368,488.4596491,92.81442829
331,465.8310321,109.9774265,495.7111653,89.84076106
332,471.2539959,105.9357712,502.7084085,86.61571618
333,477.0571469,101.725539,509.0062671,83.62582868
334,483.6508187,98.30312828,515.1633153,80.82720937
335,490.5997149,93.74260065,521.187564,77.32646848
336,497.3503142,90.75496538,526.922035,73.50746001
337,503.8369766,86.58766549,534.2299856,70.11934566
338,509.9589247,81.79721115,540.4816138,66.4360707
339,516.1396878,78.38744247,546.7766984,64.24162796
340,521.9852143,74.74936231,554.3523415,61.34606077
341,529.5460254,72.45957608,562.4269126,57.70139568
342,538.4988545,68.66998435,571.6168438,54.91237105
343,543.7102769,66.36368311,577.155622,53.70413764
344,549.0181958,64.56799875,581.3067118,52.60849132
345,555.9971218,61.10833745,589.2374124,51.43678519
346,563.5568131,58.46114367,597.4403894,50.31411304
347,571.8290192,56.18760762,605.5370094,50.72238544
348,577.7503249,54.16621967,614.4118332,49.80319549
349,585.4705887,52.98203747,621.4978073,49.24797836
350,594.3778281,51.25740248,630.809837,48.10263123
351,604.1894172,50.52029648,639.4755268,46.43516424
352,611.8162962,49.27304104,647.1134489,44.5209947
353,619.7971082,48.6471845,654.4807918,44.61758169
354,627.1160044,48.02284083,660.8339064,44.2428926
355,632.3604676,47.27080059,666.0580195,45.58856949
